EANEAN;Farbcode
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#3443eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#34eb3a
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
4,05285E+12;#c034eb
